"","Edad..grupos.quinquenales.","Municipios","Sexo","value"
"494","85 y más","08025 Bruc (El)","Ambos sexos",23
"495","Total","08026 Brull (El)","Ambos sexos",193
"496","0-4","08026 Brull (El)","Ambos sexos",7
"497","05-09","08026 Brull (El)","Ambos sexos",4
"498","10-14","08026 Brull (El)","Ambos sexos",6
"499","15-19","08026 Brull (El)","Ambos sexos",8
"500","20-24","08026 Brull (El)","Ambos sexos",18
"501","25-29","08026 Brull (El)","Ambos sexos",21
"502","30-34","08026 Brull (El)","Ambos sexos",12
"503","35-39","08026 Brull (El)","Ambos sexos",13
"504","40-44","08026 Brull (El)","Ambos sexos",18
"505","45-49","08026 Brull (El)","Ambos sexos",14
"506","50-54","08026 Brull (El)","Ambos sexos",11
"507","55-59","08026 Brull (El)","Ambos sexos",10
"508","60-64","08026 Brull (El)","Ambos sexos",13
"509","65-69","08026 Brull (El)","Ambos sexos",11
"510","70-74","08026 Brull (El)","Ambos sexos",12
"511","75-79","08026 Brull (El)","Ambos sexos",9
"512","80-84","08026 Brull (El)","Ambos sexos",5
"513","85 y más","08026 Brull (El)","Ambos sexos",1
"514","Total","08027 Cabanyes (Les)","Ambos sexos",585
"515","0-4","08027 Cabanyes (Les)","Ambos sexos",35
"516","05-09","08027 Cabanyes (Les)","Ambos sexos",25
"517","10-14","08027 Cabanyes (Les)","Ambos sexos",27
"518","15-19","08027 Cabanyes (Les)","Ambos sexos",24
"519","20-24","08027 Cabanyes (Les)","Ambos sexos",40
