"","Edad..grupos.quinquenales.","Municipios","Sexo","value"
"520","25-29","08027 Cabanyes (Les)","Ambos sexos",46
"521","30-34","08027 Cabanyes (Les)","Ambos sexos",54
"522","35-39","08027 Cabanyes (Les)","Ambos sexos",55
"523","40-44","08027 Cabanyes (Les)","Ambos sexos",55
"524","45-49","08027 Cabanyes (Les)","Ambos sexos",46
"525","50-54","08027 Cabanyes (Les)","Ambos sexos",35
"526","55-59","08027 Cabanyes (Les)","Ambos sexos",33
"527","60-64","08027 Cabanyes (Les)","Ambos sexos",11
"528","65-69","08027 Cabanyes (Les)","Ambos sexos",23
"529","70-74","08027 Cabanyes (Les)","Ambos sexos",26
"530","75-79","08027 Cabanyes (Les)","Ambos sexos",28
"531","80-84","08027 Cabanyes (Les)","Ambos sexos",13
"532","85 y más","08027 Cabanyes (Les)","Ambos sexos",9
"533","Total","08028 Cabrera d'Igualada","Ambos sexos",649
"534","0-4","08028 Cabrera d'Igualada","Ambos sexos",24
"535","05-09","08028 Cabrera d'Igualada","Ambos sexos",29
"536","10-14","08028 Cabrera d'Igualada","Ambos sexos",30
"537","15-19","08028 Cabrera d'Igualada","Ambos sexos",34
"538","20-24","08028 Cabrera d'Igualada","Ambos sexos",38
"539","25-29","08028 Cabrera d'Igualada","Ambos sexos",43
"540","30-34","08028 Cabrera d'Igualada","Ambos sexos",69
"541","35-39","08028 Cabrera d'Igualada","Ambos sexos",53
"542","40-44","08028 Cabrera d'Igualada","Ambos sexos",45
"543","45-49","08028 Cabrera d'Igualada","Ambos sexos",46
"544","50-54","08028 Cabrera d'Igualada","Ambos sexos",58
"545","55-59","08028 Cabrera d'Igualada","Ambos sexos",46
"546","60-64","08028 Cabrera d'Igualada","Ambos sexos",31
"547","65-69","08028 Cabrera d'Igualada","Ambos sexos",38
"548","70-74","08028 Cabrera d'Igualada","Ambos sexos",31
"549","75-79","08028 Cabrera d'Igualada","Ambos sexos",20
"550","80-84","08028 Cabrera d'Igualada","Ambos sexos",10
"551","85 y más","08028 Cabrera d'Igualada","Ambos sexos",4
"552","Total","08029 Cabrera de Mar","Ambos sexos",3863
"553","0-4","08029 Cabrera de Mar","Ambos sexos",194
"554","05-09","08029 Cabrera de Mar","Ambos sexos",231
"555","10-14","08029 Cabrera de Mar","Ambos sexos",222
"556","15-19","08029 Cabrera de Mar","Ambos sexos",255
"557","20-24","08029 Cabrera de Mar","Ambos sexos",254
"558","25-29","08029 Cabrera de Mar","Ambos sexos",317
"559","30-34","08029 Cabrera de Mar","Ambos sexos",303
"560","35-39","08029 Cabrera de Mar","Ambos sexos",354
"561","40-44","08029 Cabrera de Mar","Ambos sexos",331
"562","45-49","08029 Cabrera de Mar","Ambos sexos",306
"563","50-54","08029 Cabrera de Mar","Ambos sexos",257
"564","55-59","08029 Cabrera de Mar","Ambos sexos",208
"565","60-64","08029 Cabrera de Mar","Ambos sexos",166
"566","65-69","08029 Cabrera de Mar","Ambos sexos",146
"567","70-74","08029 Cabrera de Mar","Ambos sexos",110
"568","75-79","08029 Cabrera de Mar","Ambos sexos",90
"569","80-84","08029 Cabrera de Mar","Ambos sexos",47
"570","85 y más","08029 Cabrera de Mar","Ambos sexos",72
"571","Total","08030 Cabrils","Ambos sexos",5282
"572","0-4","08030 Cabrils","Ambos sexos",355
"573","05-09","08030 Cabrils","Ambos sexos",353
"574","10-14","08030 Cabrils","Ambos sexos",307
"575","15-19","08030 Cabrils","Ambos sexos",309
"576","20-24","08030 Cabrils","Ambos sexos",386
"577","25-29","08030 Cabrils","Ambos sexos",415
"578","30-34","08030 Cabrils","Ambos sexos",470
"579","35-39","08030 Cabrils","Ambos sexos",492
"580","40-44","08030 Cabrils","Ambos sexos",475
"581","45-49","08030 Cabrils","Ambos sexos",443
"582","50-54","08030 Cabrils","Ambos sexos",338
"583","55-59","08030 Cabrils","Ambos sexos",256
"584","60-64","08030 Cabrils","Ambos sexos",184
"585","65-69","08030 Cabrils","Ambos sexos",161
"586","70-74","08030 Cabrils","Ambos sexos",126
"587","75-79","08030 Cabrils","Ambos sexos",73
"588","80-84","08030 Cabrils","Ambos sexos",79
"589","85 y más","08030 Cabrils","Ambos sexos",60
"590","Total","08031 Calaf","Ambos sexos",3080
"591","0-4","08031 Calaf","Ambos sexos",108
"592","05-09","08031 Calaf","Ambos sexos",130
"593","10-14","08031 Calaf","Ambos sexos",144
"594","15-19","08031 Calaf","Ambos sexos",181
"595","20-24","08031 Calaf","Ambos sexos",222
"596","25-29","08031 Calaf","Ambos sexos",270
"597","30-34","08031 Calaf","Ambos sexos",237
"598","35-39","08031 Calaf","Ambos sexos",223
"599","40-44","08031 Calaf","Ambos sexos",223
"600","45-49","08031 Calaf","Ambos sexos",198
"601","50-54","08031 Calaf","Ambos sexos",187
"602","55-59","08031 Calaf","Ambos sexos",185
"603","60-64","08031 Calaf","Ambos sexos",164
"604","65-69","08031 Calaf","Ambos sexos",182
"605","70-74","08031 Calaf","Ambos sexos",161
"606","75-79","08031 Calaf","Ambos sexos",126
"607","80-84","08031 Calaf","Ambos sexos",80
"608","85 y más","08031 Calaf","Ambos sexos",59
"609","Total","08032 Caldes d'Estrac","Ambos sexos",2137
"610","0-4","08032 Caldes d'Estrac","Ambos sexos",105
"611","05-09","08032 Caldes d'Estrac","Ambos sexos",91
"612","10-14","08032 Caldes d'Estrac","Ambos sexos",93
"613","15-19","08032 Caldes d'Estrac","Ambos sexos",93
"614","20-24","08032 Caldes d'Estrac","Ambos sexos",102
"615","25-29","08032 Caldes d'Estrac","Ambos sexos",162
"616","30-34","08032 Caldes d'Estrac","Ambos sexos",208
"617","35-39","08032 Caldes d'Estrac","Ambos sexos",194
"618","40-44","08032 Caldes d'Estrac","Ambos sexos",172
"619","45-49","08032 Caldes d'Estrac","Ambos sexos",152
"620","50-54","08032 Caldes d'Estrac","Ambos sexos",136
"621","55-59","08032 Caldes d'Estrac","Ambos sexos",111
"622","60-64","08032 Caldes d'Estrac","Ambos sexos",96
"623","65-69","08032 Caldes d'Estrac","Ambos sexos",112
"624","70-74","08032 Caldes d'Estrac","Ambos sexos",92
"625","75-79","08032 Caldes d'Estrac","Ambos sexos",98
"626","80-84","08032 Caldes d'Estrac","Ambos sexos",58
"627","85 y más","08032 Caldes d'Estrac","Ambos sexos",62
"628","Total","08033 Caldes de Montbui","Ambos sexos",13244
"629","0-4","08033 Caldes de Montbui","Ambos sexos",477
"630","05-09","08033 Caldes de Montbui","Ambos sexos",632
"631","10-14","08033 Caldes de Montbui","Ambos sexos",647
"632","15-19","08033 Caldes de Montbui","Ambos sexos",744
"633","20-24","08033 Caldes de Montbui","Ambos sexos",1011
"634","25-29","08033 Caldes de Montbui","Ambos sexos",1211
"635","30-34","08033 Caldes de Montbui","Ambos sexos",1107
"636","35-39","08033 Caldes de Montbui","Ambos sexos",1129
"637","40-44","08033 Caldes de Montbui","Ambos sexos",1114
"638","45-49","08033 Caldes de Montbui","Ambos sexos",854
"639","50-54","08033 Caldes de Montbui","Ambos sexos",854
"640","55-59","08033 Caldes de Montbui","Ambos sexos",690
"641","60-64","08033 Caldes de Montbui","Ambos sexos",569
"642","65-69","08033 Caldes de Montbui","Ambos sexos",645
"643","70-74","08033 Caldes de Montbui","Ambos sexos",552
"644","75-79","08033 Caldes de Montbui","Ambos sexos",453
"645","80-84","08033 Caldes de Montbui","Ambos sexos",286
"646","85 y más","08033 Caldes de Montbui","Ambos sexos",269
"647","Total","08034 Calders","Ambos sexos",788
"648","0-4","08034 Calders","Ambos sexos",42
"649","05-09","08034 Calders","Ambos sexos",55
"650","10-14","08034 Calders","Ambos sexos",37
"651","15-19","08034 Calders","Ambos sexos",36
"652","20-24","08034 Calders","Ambos sexos",50
"653","25-29","08034 Calders","Ambos sexos",31
"654","30-34","08034 Calders","Ambos sexos",63
"655","35-39","08034 Calders","Ambos sexos",87
"656","40-44","08034 Calders","Ambos sexos",75
"657","45-49","08034 Calders","Ambos sexos",60
"658","50-54","08034 Calders","Ambos sexos",37
"659","55-59","08034 Calders","Ambos sexos",35
"660","60-64","08034 Calders","Ambos sexos",38
"661","65-69","08034 Calders","Ambos sexos",60
"662","70-74","08034 Calders","Ambos sexos",41
"663","75-79","08034 Calders","Ambos sexos",25
"664","80-84","08034 Calders","Ambos sexos",9
"665","85 y más","08034 Calders","Ambos sexos",7
"666","Total","08035 Calella","Ambos sexos",14530
"667","0-4","08035 Calella","Ambos sexos",750
"668","05-09","08035 Calella","Ambos sexos",646
"669","10-14","08035 Calella","Ambos sexos",653
"670","15-19","08035 Calella","Ambos sexos",794
"671","20-24","08035 Calella","Ambos sexos",1055
"672","25-29","08035 Calella","Ambos sexos",1286
"673","30-34","08035 Calella","Ambos sexos",1268
"674","35-39","08035 Calella","Ambos sexos",1218
"675","40-44","08035 Calella","Ambos sexos",1026
"676","45-49","08035 Calella","Ambos sexos",966
"677","50-54","08035 Calella","Ambos sexos",894
"678","55-59","08035 Calella","Ambos sexos",803
"679","60-64","08035 Calella","Ambos sexos",666
"680","65-69","08035 Calella","Ambos sexos",746
"681","70-74","08035 Calella","Ambos sexos",640
"682","75-79","08035 Calella","Ambos sexos",495
"683","80-84","08035 Calella","Ambos sexos",311
"684","85 y más","08035 Calella","Ambos sexos",313
"685","Total","08036 Calonge de Segarra","Ambos sexos",198
"686","0-4","08036 Calonge de Segarra","Ambos sexos",9
"687","05-09","08036 Calonge de Segarra","Ambos sexos",8
"688","10-14","08036 Calonge de Segarra","Ambos sexos",6
"689","15-19","08036 Calonge de Segarra","Ambos sexos",12
"690","20-24","08036 Calonge de Segarra","Ambos sexos",12
"691","25-29","08036 Calonge de Segarra","Ambos sexos",10
"692","30-34","08036 Calonge de Segarra","Ambos sexos",9
"693","35-39","08036 Calonge de Segarra","Ambos sexos",12
"694","40-44","08036 Calonge de Segarra","Ambos sexos",18
"695","45-49","08036 Calonge de Segarra","Ambos sexos",8
"696","50-54","08036 Calonge de Segarra","Ambos sexos",15
"697","55-59","08036 Calonge de Segarra","Ambos sexos",8
"698","60-64","08036 Calonge de Segarra","Ambos sexos",6
"699","65-69","08036 Calonge de Segarra","Ambos sexos",11
"700","70-74","08036 Calonge de Segarra","Ambos sexos",24
"701","75-79","08036 Calonge de Segarra","Ambos sexos",17
"702","80-84","08036 Calonge de Segarra","Ambos sexos",4
"703","85 y más","08036 Calonge de Segarra","Ambos sexos",9
"704","Total","08037 Calldetenes","Ambos sexos",2083
"705","0-4","08037 Calldetenes","Ambos sexos",106
"706","05-09","08037 Calldetenes","Ambos sexos",111
"707","10-14","08037 Calldetenes","Ambos sexos",122
"708","15-19","08037 Calldetenes","Ambos sexos",128
"709","20-24","08037 Calldetenes","Ambos sexos",170
"710","25-29","08037 Calldetenes","Ambos sexos",194
"711","30-34","08037 Calldetenes","Ambos sexos",139
"712","35-39","08037 Calldetenes","Ambos sexos",186
"713","40-44","08037 Calldetenes","Ambos sexos",182
"714","45-49","08037 Calldetenes","Ambos sexos",151
"715","50-54","08037 Calldetenes","Ambos sexos",134
"716","55-59","08037 Calldetenes","Ambos sexos",97
"717","60-64","08037 Calldetenes","Ambos sexos",68
"718","65-69","08037 Calldetenes","Ambos sexos",79
"719","70-74","08037 Calldetenes","Ambos sexos",86
"720","75-79","08037 Calldetenes","Ambos sexos",54
"721","80-84","08037 Calldetenes","Ambos sexos",43
"722","85 y más","08037 Calldetenes","Ambos sexos",33
"723","Total","08038 Callús","Ambos sexos",1366
"724","0-4","08038 Callús","Ambos sexos",66
"725","05-09","08038 Callús","Ambos sexos",47
"726","10-14","08038 Callús","Ambos sexos",53
"727","15-19","08038 Callús","Ambos sexos",75
"728","20-24","08038 Callús","Ambos sexos",96
"729","25-29","08038 Callús","Ambos sexos",102
"730","30-34","08038 Callús","Ambos sexos",96
"731","35-39","08038 Callús","Ambos sexos",89
"732","40-44","08038 Callús","Ambos sexos",109
"733","45-49","08038 Callús","Ambos sexos",93
"734","50-54","08038 Callús","Ambos sexos",78
"735","55-59","08038 Callús","Ambos sexos",77
"736","60-64","08038 Callús","Ambos sexos",55
"737","65-69","08038 Callús","Ambos sexos",94
"738","70-74","08038 Callús","Ambos sexos",82
"739","75-79","08038 Callús","Ambos sexos",67
"740","80-84","08038 Callús","Ambos sexos",40
"741","85 y más","08038 Callús","Ambos sexos",47
"742","Total","08039 Campins","Ambos sexos",305
"743","0-4","08039 Campins","Ambos sexos",23
"744","05-09","08039 Campins","Ambos sexos",11
"745","10-14","08039 Campins","Ambos sexos",19
"746","15-19","08039 Campins","Ambos sexos",14
"747","20-24","08039 Campins","Ambos sexos",14
"748","25-29","08039 Campins","Ambos sexos",22
"749","30-34","08039 Campins","Ambos sexos",35
"750","35-39","08039 Campins","Ambos sexos",33
"751","40-44","08039 Campins","Ambos sexos",28
"752","45-49","08039 Campins","Ambos sexos",17
"753","50-54","08039 Campins","Ambos sexos",21
"754","55-59","08039 Campins","Ambos sexos",14
"755","60-64","08039 Campins","Ambos sexos",15
"756","65-69","08039 Campins","Ambos sexos",7
"757","70-74","08039 Campins","Ambos sexos",13
"758","75-79","08039 Campins","Ambos sexos",7
"759","80-84","08039 Campins","Ambos sexos",8
"760","85 y más","08039 Campins","Ambos sexos",4
"761","Total","08040 Canet de Mar","Ambos sexos",11065
"762","0-4","08040 Canet de Mar","Ambos sexos",432
"763","05-09","08040 Canet de Mar","Ambos sexos",465
"764","10-14","08040 Canet de Mar","Ambos sexos",496
"765","15-19","08040 Canet de Mar","Ambos sexos",612
"766","20-24","08040 Canet de Mar","Ambos sexos",799
"767","25-29","08040 Canet de Mar","Ambos sexos",998
"768","30-34","08040 Canet de Mar","Ambos sexos",958
"769","35-39","08040 Canet de Mar","Ambos sexos",897
"770","40-44","08040 Canet de Mar","Ambos sexos",782
"771","45-49","08040 Canet de Mar","Ambos sexos",727
"772","50-54","08040 Canet de Mar","Ambos sexos",718
"773","55-59","08040 Canet de Mar","Ambos sexos",650
"774","60-64","08040 Canet de Mar","Ambos sexos",491
"775","65-69","08040 Canet de Mar","Ambos sexos",566
"776","70-74","08040 Canet de Mar","Ambos sexos",474
"777","75-79","08040 Canet de Mar","Ambos sexos",411
"778","80-84","08040 Canet de Mar","Ambos sexos",292
"779","85 y más","08040 Canet de Mar","Ambos sexos",297
"780","Total","08041 Canovelles","Ambos sexos",13375
"781","0-4","08041 Canovelles","Ambos sexos",658
"782","05-09","08041 Canovelles","Ambos sexos",619
"783","10-14","08041 Canovelles","Ambos sexos",693
"784","15-19","08041 Canovelles","Ambos sexos",897
"785","20-24","08041 Canovelles","Ambos sexos",1292
"786","25-29","08041 Canovelles","Ambos sexos",1358
"787","30-34","08041 Canovelles","Ambos sexos",1032
"788","35-39","08041 Canovelles","Ambos sexos",1001
"789","40-44","08041 Canovelles","Ambos sexos",970
"790","45-49","08041 Canovelles","Ambos sexos",957
"791","50-54","08041 Canovelles","Ambos sexos",930
"792","55-59","08041 Canovelles","Ambos sexos",697
"793","60-64","08041 Canovelles","Ambos sexos",535
"794","65-69","08041 Canovelles","Ambos sexos",556
"795","70-74","08041 Canovelles","Ambos sexos",473
"796","75-79","08041 Canovelles","Ambos sexos",355
"797","80-84","08041 Canovelles","Ambos sexos",190
"798","85 y más","08041 Canovelles","Ambos sexos",162
"799","Total","08042 Cànoves i Samalús","Ambos sexos",2066
"800","0-4","08042 Cànoves i Samalús","Ambos sexos",106
"801","05-09","08042 Cànoves i Samalús","Ambos sexos",108
"802","10-14","08042 Cànoves i Samalús","Ambos sexos",98
"803","15-19","08042 Cànoves i Samalús","Ambos sexos",108
"804","20-24","08042 Cànoves i Samalús","Ambos sexos",152
"805","25-29","08042 Cànoves i Samalús","Ambos sexos",170
"806","30-34","08042 Cànoves i Samalús","Ambos sexos",188
"807","35-39","08042 Cànoves i Samalús","Ambos sexos",183
"808","40-44","08042 Cànoves i Samalús","Ambos sexos",169
"809","45-49","08042 Cànoves i Samalús","Ambos sexos",145
"810","50-54","08042 Cànoves i Samalús","Ambos sexos",133
"811","55-59","08042 Cànoves i Samalús","Ambos sexos",130
"812","60-64","08042 Cànoves i Samalús","Ambos sexos",108
"813","65-69","08042 Cànoves i Samalús","Ambos sexos",90
"814","70-74","08042 Cànoves i Samalús","Ambos sexos",68
"815","75-79","08042 Cànoves i Samalús","Ambos sexos",54
"816","80-84","08042 Cànoves i Samalús","Ambos sexos",33
"817","85 y más","08042 Cànoves i Samalús","Ambos sexos",23
"818","Total","08043 Canyelles","Ambos sexos",2268
"819","0-4","08043 Canyelles","Ambos sexos",116
"820","05-09","08043 Canyelles","Ambos sexos",113
"821","10-14","08043 Canyelles","Ambos sexos",108
"822","15-19","08043 Canyelles","Ambos sexos",111
"823","20-24","08043 Canyelles","Ambos sexos",169
"824","25-29","08043 Canyelles","Ambos sexos",200
"825","30-34","08043 Canyelles","Ambos sexos",205
"826","35-39","08043 Canyelles","Ambos sexos",202
"827","40-44","08043 Canyelles","Ambos sexos",210
"828","45-49","08043 Canyelles","Ambos sexos",182
"829","50-54","08043 Canyelles","Ambos sexos",155
"830","55-59","08043 Canyelles","Ambos sexos",125
"831","60-64","08043 Canyelles","Ambos sexos",106
"832","65-69","08043 Canyelles","Ambos sexos",102
"833","70-74","08043 Canyelles","Ambos sexos",69
"834","75-79","08043 Canyelles","Ambos sexos",49
"835","80-84","08043 Canyelles","Ambos sexos",23
"836","85 y más","08043 Canyelles","Ambos sexos",23
"837","Total","08044 Capellades","Ambos sexos",5049
"838","0-4","08044 Capellades","Ambos sexos",217
"839","05-09","08044 Capellades","Ambos sexos",211
"840","10-14","08044 Capellades","Ambos sexos",260
"841","15-19","08044 Capellades","Ambos sexos",316
"842","20-24","08044 Capellades","Ambos sexos",455
"843","25-29","08044 Capellades","Ambos sexos",452
"844","30-34","08044 Capellades","Ambos sexos",369
"845","35-39","08044 Capellades","Ambos sexos",356
"846","40-44","08044 Capellades","Ambos sexos",351
"847","45-49","08044 Capellades","Ambos sexos",333
"848","50-54","08044 Capellades","Ambos sexos",320
"849","55-59","08044 Capellades","Ambos sexos",273
"850","60-64","08044 Capellades","Ambos sexos",226
"851","65-69","08044 Capellades","Ambos sexos",248
"852","70-74","08044 Capellades","Ambos sexos",232
"853","75-79","08044 Capellades","Ambos sexos",190
"854","80-84","08044 Capellades","Ambos sexos",130
"855","85 y más","08044 Capellades","Ambos sexos",110
"856","Total","08045 Capolat","Ambos sexos",54
"857","0-4","08045 Capolat","Ambos sexos",0
"858","05-09","08045 Capolat","Ambos sexos",1
"859","10-14","08045 Capolat","Ambos sexos",0
"860","15-19","08045 Capolat","Ambos sexos",1
"861","20-24","08045 Capolat","Ambos sexos",3
"862","25-29","08045 Capolat","Ambos sexos",3
"863","30-34","08045 Capolat","Ambos sexos",5
"864","35-39","08045 Capolat","Ambos sexos",4
"865","40-44","08045 Capolat","Ambos sexos",4
"866","45-49","08045 Capolat","Ambos sexos",0
"867","50-54","08045 Capolat","Ambos sexos",7
"868","55-59","08045 Capolat","Ambos sexos",4
"869","60-64","08045 Capolat","Ambos sexos",0
"870","65-69","08045 Capolat","Ambos sexos",10
"871","70-74","08045 Capolat","Ambos sexos",7
"872","75-79","08045 Capolat","Ambos sexos",0
"873","80-84","08045 Capolat","Ambos sexos",2
"874","85 y más","08045 Capolat","Ambos sexos",3
"875","Total","08046 Cardedeu","Ambos sexos",13167
"876","0-4","08046 Cardedeu","Ambos sexos",737
"877","05-09","08046 Cardedeu","Ambos sexos",786
"878","10-14","08046 Cardedeu","Ambos sexos",748
"879","15-19","08046 Cardedeu","Ambos sexos",718
"880","20-24","08046 Cardedeu","Ambos sexos",989
"881","25-29","08046 Cardedeu","Ambos sexos",1268
"882","30-34","08046 Cardedeu","Ambos sexos",1283
"883","35-39","08046 Cardedeu","Ambos sexos",1210
